ru
Как называют 30 летний юбилей свадьбы? ## Зеленая ## Золотая	## Бронзовая ## %R% Жемчужная
Какое из этих произведений традиционно исполняли ночью? ## Мадригал ## Ноктюрн	## %R% Серенада ## Романс
Какая птица, согласно легендам, возрождается после самосожжения? ## %R% Феникс ## Жар-Птица	## Жаренный петух ## Синяя птица
Что обычно едят американцы на день благодарения? ## Утку ## Курицу	## %R% Индейку ## Гуся
Бутылку чего разбивают при спуске корабля на воду? ## Рома ## Водки	## %R% Шампанского ## Пива
Что согласно народным поверьям необходимо сделать, если черная кошка перебежит Вам дорогу? ## Постучать по дереву ## Кинуть в нее ботинком	## %R%Плюнуть через левое плечо ## Перекреститься
en
What is the 30th anniversary of the wedding? ## Green ## Gold	## Bronze ## %R% Pearl
Which of these musical compositions was traditionally performed at night?## Madrigal ## Nocturne	## %R% Serenade ## Romance
Which bird, according to the legends, is reborn after burning?## %R% Phoenix ## Firebird	## Roasted cock ## Blue bird
What do Americans usually eat for Thanksgiving?## Duck ## Chicken	## %R% Turkey ## Goose
A bottle of what is broken when the ship is launched onto the water?## Rom ## Vodka	## %R% Champagne ## Beer
What do folk beliefs need to do if a black cat crosses your path?## Knock on wood## Throwing a boot at it	## %R%Spit over the left shoulder ## bless oneself
